stabiliId,sourceRecordId,matchStatus,matchMethod,sourceAddress,bbl,bin,hpdBuildingId,canonicalAddress,reasonCodes,candidateHpdBuildingIds
stabili-8f7ae25d-f4c4-589f-8e0e-56a0064ea148,brooklyn-2024-p128-r54,ambiguous,manual_review,"164 Herkimer Street, Brooklyn, NY 11216",3018670036,,,"164 Herkimer Street, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,311402|955520
stabili-1f3dfcd7-fee0-511f-a9ef-1ab55e35ec42,brooklyn-2024-p129-r1,ambiguous,manual_review,"327 Herkimer Street, Brooklyn, NY 11216",3018630059,,,"327 Herkimer Street, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,311454|954116
stabili-68f9b47d-40f2-5e72-a06c-21be5217f277,brooklyn-2024-p129-r3,ambiguous,manual_review,"117–121 Jefferson Avenue, Brooklyn, NY 11216",3018270089,,,"117 Jefferson Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,316731|808599
stabili-ce3166bf-aab1-5cae-a432-b699604ea2ad,brooklyn-2024-p129-r35,ambiguous,manual_review,"194 Lexington Avenue, Brooklyn, NY 11216",3018020013,,,"194 Lexington Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,324967|995419
stabili-68b0b991-ae5c-5a96-9728-78cbc3beda8c,brooklyn-2024-p129-r39,ambiguous,manual_review,"410 Lexington Avenue, Brooklyn, NY 11216",3018057502,,,"420 Lexington Avenue, Brooklyn, NY 11221",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,381589|979559
stabili-16d45249-cd47-5272-83bd-2fba4e22a543,brooklyn-2024-p130-r5,ambiguous,manual_review,"25 Macdonough Street, Brooklyn, NY 11216",3018510063,,,"25 Mac Donough Street, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,334478|984130
stabili-63fa52a4-b932-51c8-abcc-9fbfe7219243,brooklyn-2024-p130-r19,ambiguous,manual_review,"29 Macon Street, Brooklyn, NY 11216",3018430020,,,"500 Nostrand Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,346838|808776
stabili-ac27028b-3e5d-57db-9b40-0feb38fd362a,brooklyn-2024-p131-r19,ambiguous,manual_review,"80 New York Avenue, Brooklyn, NY 11216",3012070034,,,"1316 Pacific Street, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,349517|965272
stabili-a401c49c-f166-5653-8ef8-28a053ba714f,brooklyn-2024-p131-r42,ambiguous,manual_review,"347 Nostrand Avenue, Brooklyn, NY 11216",3018087501,,,"349 Nostrand Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,939708|939709|939710|939711|956530|965608
stabili-302e0991-76a6-53a9-aa4e-5987bf837ecf,brooklyn-2024-p132-r38,ambiguous,manual_review,"1295 Pacific Street, Brooklyn, NY 11216",3012010074,,,"573 Nostrand Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,346867|993844
stabili-e408362d-c3d8-544b-a2a9-4ba89abb73e3,brooklyn-2024-p132-r56,ambiguous,manual_review,"1435 Pacific Street, Brooklyn, NY 11216",3012030071,,,"1435 Pacific Street, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,349613|838070
stabili-b5775017-b2b7-54ca-a7da-7c662045c1e0,brooklyn-2024-p133-r40,ambiguous,manual_review,"678 Prospect Place, Brooklyn, NY 11216",3012310041,,,"678 Prospect Place, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,357255|933342
stabili-f23fdc8a-230c-507a-900b-33a4ff7ed8bb,brooklyn-2024-p133-r44,ambiguous,manual_review,"730 Prospect Place, Brooklyn, NY 11216",3012330016,,,"730 Prospect Place, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_3_hpd_buildings,357271|868328|967050
stabili-98466cc9-ace9-50d6-a9f7-7fb34f870c39,brooklyn-2024-p133-r47,ambiguous,manual_review,"761–767 Prospect Place, Brooklyn, NY 11216",3012260055,,,"767 Prospect Place, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,357284|809226
stabili-5d319323-20fd-53e2-8b31-89c449ff95bb,brooklyn-2024-p134-r2,ambiguous,manual_review,"168 Putnam Avenue, Brooklyn, NY 11216",3019960022,,,"168 Putnam Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,357949|833623
stabili-188d6bc3-ec4f-5c80-95ac-d48d2f14c2b3,brooklyn-2024-p134-r36,ambiguous,manual_review,"32 Rogers Avenue, Brooklyn, NY 11216",3012180005,,,"1387 Bedford Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,205634|1018328
stabili-1ebc37b4-967d-5100-9dc3-f061f0fbe6c0,brooklyn-2024-p134-r40,ambiguous,manual_review,"83–93 Rogers Avenue, Brooklyn, NY 11216",3012260080,,,"85 Rogers Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,364010|991650
stabili-42c6a6a6-00d0-58fa-a1c9-5276519e70b3,brooklyn-2024-p134-r54,ambiguous,manual_review,"158 Rogers Avenue, Brooklyn, NY 11216",3012530033,,,"158 Rogers Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,363715|845692
stabili-8192ac81-6efb-54c6-aca1-c69e7d91d46b,brooklyn-2024-p135-r15,ambiguous,manual_review,"806 Saint Johns Place, Brooklyn, NY 11216",3012540026,,,"808 St Johns Place, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,374153|973717|982140|982142|999722
stabili-eb7e0738-c0db-5617-aead-8f0f4a60a7a8,brooklyn-2024-p135-r55,ambiguous,manual_review,"701 Saint Marks Avenue, Brooklyn, NY 11216",3012200001,,,"637 Nostrand Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,346893|1014792
stabili-2b748d8e-7d85-51a6-8b4d-a09bf4b5036b,brooklyn-2024-p135-r56,ambiguous,manual_review,"705 Saint Marks Avenue, Brooklyn, NY 11216",3012200078,,,"705 St Marks Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,374977|942426
stabili-8c5b6753-5e4f-518a-8bf5-9c57348eccd9,brooklyn-2024-p136-r1,ambiguous,manual_review,"715 Saint Marks Avenue, Brooklyn, NY 11216",3012200019,,,"715 St Marks Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,208183|1006737
stabili-8ca0e91c-e99c-5048-9366-5cc1d4b44c9f,brooklyn-2024-p136-r27,ambiguous,manual_review,"797 Sterling Place, Brooklyn, NY 11216",3012400069,,,"797 Sterling Place, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,376883|939780
stabili-b72aedc1-f4f4-505a-b21d-32b91309a916,brooklyn-2024-p136-r33,ambiguous,manual_review,"939 Sterling Place, Brooklyn, NY 11216",3012410045,,,"939 Sterling Place, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,343846|838519
stabili-7223a64f-4c86-5710-b2d4-c29f42ed1778,brooklyn-2024-p136-r39,ambiguous,manual_review,"588 Throop Avenue, Brooklyn, NY 11216",3018400048,,,"299 Halsey Street, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings,305794|809687
stabili-900c76b0-0dbe-529c-8804-70324d8e926f,brooklyn-2024-p136-r47,ambiguous,manual_review,"288–290 Tompkins Avenue, Brooklyn, NY 11216",3018040037,,,"288 Tompkins Avenue, Brooklyn, NY 11216",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,381592|966945
stabili-7dd84d05-7a93-5c45-b20e-24cefe8ec5bf,brooklyn-2024-p137-r23,ambiguous,manual_review,"110 4th Avenue, Brooklyn, NY 11217",3004010041,,,"110 4 Avenue, Brooklyn, NY 11217",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,128883|901503
stabili-8db6198f-d56e-53bf-a859-6162d9164136,brooklyn-2024-p138-r1,ambiguous,manual_review,"75 6th Avenue, Brooklyn, NY 11217",3011430008,,,"249 Flatbush Avenue, Brooklyn, NY 11217",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,132562|807382
stabili-247c2a7d-0e3d-5cd1-bea8-78d8f7a959a1,brooklyn-2024-p138-r48,ambiguous,manual_review,"255–259 Bergen Street, Brooklyn, NY 11217",3001970055,,,"255 Bergen Street, Brooklyn, NY 11217",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,208753|807772
stabili-3ab5700d-3cb6-5fd8-a493-5fc8dc5cc79f,brooklyn-2024-p139-r7,ambiguous,manual_review,"528–532 Bergen Street, Brooklyn, NY 11217",3011430035,,,"528 Bergen Street, Brooklyn, NY 11217",source_bbl_found_in_official_nyc_data|parcel_has_multiple_unresolved_hpd_buildings|primary_address_matches_2_hpd_buildings,208907|907547
